document_name,source_token,source_type,source_pos_tag,source_sentence_ID,source_token_ID,source_prev_tag,source_next_tag,target_token,target_type,target_pos_tag,target_sentence_ID,target_token_ID,target_prev_tag,target_next_tag,token_distance,sentence_distance,dependency_tags,relation_type
doc-20.1 - order shipping,orders,B-Activity,NNS,0,3,B-Actor,B-Activity Data,the,B-Actor,DT,0,1,O,B-Activity,2,0,[0],actor performer
doc-20.1 - order shipping,orders,B-Activity,NNS,0,3,B-Actor,B-Activity Data,products,B-Activity Data,NNS,0,4,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.1 - order shipping,orders,B-Activity,NNS,0,3,B-Actor,B-Activity Data,on,B-Further Specification,IN,0,5,B-Activity Data,O,2,0,[0],further specification
doc-20.1 - order shipping,orders,B-Activity,NNS,0,3,B-Actor,B-Activity Data,checked,B-Activity,VBN,0,14,O,B-Further Specification,11,0,[0],flow
doc-20.1 - order shipping,orders,B-Activity,NNS,0,3,B-Actor,B-Activity Data,the,B-Actor,DT,1,18,O,O,15,1,[0],actor recipient
doc-20.1 - order shipping,checked,B-Activity,VBN,0,14,O,B-Further Specification,the,B-Activity Data,DT,0,11,O,O,3,0,[0],uses
doc-20.1 - order shipping,checked,B-Activity,VBN,0,14,O,B-Further Specification,for,B-Further Specification,IN,0,15,B-Activity,O,1,0,[0],further specification
doc-20.1 - order shipping,checked,B-Activity,VBN,0,14,O,B-Further Specification,the,B-Actor,DT,0,22,O,O,8,0,[0],actor performer
doc-20.1 - order shipping,checked,B-Activity,VBN,0,14,O,B-Further Specification,If,B-XOR Gateway,IN,1,0,O,O,14,1,[0],flow
doc-20.1 - order shipping,If,B-XOR Gateway,IN,1,0,O,O,no,B-Condition Specification,DT,1,3,O,O,3,0,[0],flow
doc-20.1 - order shipping,If,B-XOR Gateway,IN,1,0,O,O,If,B-XOR Gateway,IN,2,0,O,B-Condition Specification,0,1,[0],same gateway
doc-20.1 - order shipping,no,B-Condition Specification,DT,1,3,O,O,rejected,B-Activity,VBN,1,11,O,O,8,0,[0],flow
doc-20.1 - order shipping,rejected,B-Activity,VBN,1,11,O,O,the,B-Activity Data,DT,1,8,O,O,3,0,[0],uses
doc-20.1 - order shipping,rejected,B-Activity,VBN,1,11,O,O,reimbursed,B-Activity,VBN,1,16,O,O,5,0,[0],flow
doc-20.1 - order shipping,rejected,B-Activity,VBN,1,11,O,O,the,B-Actor,DT,1,18,O,O,7,0,[0],actor performer
doc-20.1 - order shipping,reimbursed,B-Activity,VBN,1,16,O,O,the,B-Actor,DT,1,18,O,O,2,0,[0],actor performer
doc-20.1 - order shipping,If,B-XOR Gateway,IN,2,0,O,B-Condition Specification,the,B-Condition Specification,DT,2,1,B-XOR Gateway,B-Activity Data,1,0,[0],flow
doc-20.1 - order shipping,the,B-Condition Specification,DT,2,1,B-XOR Gateway,B-Activity Data,confirmed,B-Activity,VBN,2,8,O,O,7,0,[0],flow
doc-20.1 - order shipping,confirmed,B-Activity,VBN,2,8,O,O,the,B-Activity Data,DT,2,5,B-Condition Specification,O,3,0,[0],uses
doc-20.1 - order shipping,confirmed,B-Activity,VBN,2,8,O,O,the,B-Actor,DT,2,10,O,O,2,0,[0],actor performer
doc-20.1 - order shipping,confirmed,B-Activity,VBN,2,8,O,O,and,B-AND Gateway,CC,3,10,B-Actor,B-Actor,2,1,[0],flow
doc-20.1 - order shipping,sends,B-Activity,VBZ,3,4,O,B-Activity Data,The,B-Actor,DT,3,0,O,O,4,0,[0],actor performer
doc-20.1 - order shipping,sends,B-Activity,VBZ,3,4,O,B-Activity Data,the,B-Activity Data,DT,3,5,B-Activity,O,1,0,[0],uses
doc-20.1 - order shipping,sends,B-Activity,VBZ,3,4,O,B-Activity Data,the,B-Actor,DT,3,8,O,B-AND Gateway,4,0,[0],actor recipient
doc-20.1 - order shipping,sends,B-Activity,VBZ,3,4,O,B-Activity Data,when,B-AND Gateway,WRB,4,3,O,O,1,1,[0],flow
doc-20.1 - order shipping,and,B-AND Gateway,CC,3,10,B-Actor,B-Actor,sends,B-Activity,VBZ,3,4,O,B-Activity Data,6,0,[0],flow
doc-20.1 - order shipping,and,B-AND Gateway,CC,3,10,B-Actor,B-Actor,ships,B-Activity,VBZ,3,18,B-Actor,B-Activity Data,8,0,[0],flow
doc-20.1 - order shipping,ships,B-Activity,VBZ,3,18,B-Actor,B-Activity Data,the,B-Actor,DT,3,15,B-AND Gateway,B-Activity,3,0,[0],actor performer
doc-20.1 - order shipping,ships,B-Activity,VBZ,3,18,B-Actor,B-Activity Data,the,B-Activity Data,DT,3,19,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.1 - order shipping,ships,B-Activity,VBZ,3,18,B-Actor,B-Activity Data,to,B-Further Specification,TO,3,21,B-Activity Data,O,3,0,[0],further specification
doc-20.1 - order shipping,ships,B-Activity,VBZ,3,18,B-Actor,B-Activity Data,when,B-AND Gateway,WRB,4,3,O,O,15,1,[0],flow
doc-20.2 - employee project approval,initiates,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-Activity,2,0,[0],actor performer
doc-20.2 - employee project approval,initiates,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,an,B-Activity Data,DT,0,3,B-Activity,O,1,0,[0],uses
doc-20.2 - employee project approval,initiates,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,record,B-Activity,VB,1,3,O,B-Activity Data,1,1,[0],flow
doc-20.2 - employee project approval,record,B-Activity,VB,1,3,O,B-Activity Data,He,B-Actor,PRP,1,0,O,O,3,0,[0],actor performer
doc-20.2 - employee project approval,record,B-Activity,VB,1,3,O,B-Activity Data,the,B-Activity Data,DT,1,4,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.2 - employee project approval,record,B-Activity,VB,1,3,O,B-Activity Data,in,B-Further Specification,IN,1,7,B-Activity Data,O,4,0,[0],further specification
doc-20.2 - employee project approval,record,B-Activity,VB,1,3,O,B-Activity Data,express,B-Activity,VB,1,11,O,B-Activity Data,8,0,[0],flow
doc-20.2 - employee project approval,express,B-Activity,VB,1,11,O,B-Activity Data,He,B-Actor,PRP,1,0,O,O,11,0,[0],actor performer
doc-20.2 - employee project approval,express,B-Activity,VB,1,11,O,B-Activity Data,its,B-Activity Data,PRP$,1,12,B-Activity,O,1,0,[0],uses
doc-20.2 - employee project approval,express,B-Activity,VB,1,11,O,B-Activity Data,submit,B-Activity,VB,2,4,O,B-Activity Data,7,1,[0],flow
doc-20.2 - employee project approval,submit,B-Activity,VB,2,4,O,B-Activity Data,He,B-Actor,PRP,2,0,O,O,4,0,[0],actor performer
doc-20.2 - employee project approval,submit,B-Activity,VB,2,4,O,B-Activity Data,a,B-Activity Data,DT,2,5,B-Activity,O,1,0,[0],uses
doc-20.2 - employee project approval,submit,B-Activity,VB,2,4,O,B-Activity Data,the,B-Actor,DT,2,10,O,O,6,0,[0],actor recipient
doc-20.2 - employee project approval,submit,B-Activity,VB,2,4,O,B-Activity Data,assesses,B-Activity,VBZ,3,2,B-Actor,B-Activity Data,2,1,[0],flow
doc-20.2 - employee project approval,assesses,B-Activity,VBZ,3,2,B-Actor,B-Activity Data,The,B-Actor,DT,3,0,O,B-Activity,2,0,[0],actor performer
doc-20.2 - employee project approval,assesses,B-Activity,VBZ,3,2,B-Actor,B-Activity Data,the,B-Activity Data,DT,3,3,B-Activity,O,1,0,[0],uses
doc-20.2 - employee project approval,assesses,B-Activity,VBZ,3,2,B-Actor,B-Activity Data,If,B-XOR Gateway,IN,4,0,O,B-Condition Specification,2,1,[0],flow
doc-20.2 - employee project approval,If,B-XOR Gateway,IN,4,0,O,B-Condition Specification,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.2 - employee project approval,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,initiate,B-Activity,VB,4,8,O,B-Activity Data,7,0,[0],flow
doc-20.2 - employee project approval,initiate,B-Activity,VB,4,8,O,B-Activity Data,he,B-Actor,PRP,4,6,O,O,2,0,[0],actor performer
doc-20.2 - employee project approval,initiate,B-Activity,VB,4,8,O,B-Activity Data,a,B-Activity Data,DT,4,9,B-Activity,O,1,0,[0],uses
doc-20.2 - employee project approval,initiate,B-Activity,VB,4,8,O,B-Activity Data,simultaneously,B-AND Gateway,RB,5,2,O,B-Activity,6,1,[0],flow
doc-20.2 - employee project approval,simultaneously,B-AND Gateway,RB,5,2,O,B-Activity,a,B-Activity Data,DT,5,5,B-Activity,O,3,0,[0],flow
doc-20.2 - employee project approval,laying,B-Activity,VBG,5,3,B-AND Gateway,B-Activity Data,he,B-Actor,PRP,4,6,O,O,3,1,[0],activity performer
doc-20.2 - employee project approval,laying,B-Activity,VBG,5,3,B-AND Gateway,B-Activity Data,a,B-Activity Data,DT,5,5,B-Activity,O,2,0,[0],uses
doc-20.2 - employee project approval,laying,B-Activity,VBG,5,3,B-AND Gateway,B-Activity Data,When,B-AND Gateway,WRB,6,0,O,O,3,1,[0],flow
doc-20.2 - employee project approval,setting,B-Activity,VBG,5,8,O,B-Activity Data,he,B-Actor,PRP,4,6,O,O,2,1,[0],activity performer
doc-20.2 - employee project approval,setting,B-Activity,VBG,5,8,O,B-Activity Data,a,B-Activity Data,DT,5,10,B-Activity,B-AND Gateway,2,0,[0],uses
doc-20.2 - employee project approval,setting,B-Activity,VBG,5,8,O,B-Activity Data,When,B-AND Gateway,WRB,6,0,O,O,8,1,[0],flow
doc-20.2 - employee project approval,stating,B-Activity,VBG,5,13,B-AND Gateway,B-Activity Data,he,B-Actor,PRP,4,6,O,O,7,1,[0],activity performer
doc-20.2 - employee project approval,started,B-Activity,VBN,6,8,O,O,When,B-AND Gateway,WRB,6,0,O,O,8,0,[0],flow
doc-20.2 - employee project approval,communicate,B-Activity,VB,7,9,O,B-Activity Data,he,B-Actor,PRP,7,7,O,O,2,0,[0],actor performer
doc-20.2 - employee project approval,communicate,B-Activity,VB,7,9,O,B-Activity Data,the,B-Activity Data,DT,7,10,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,submitting,B-Activity,VBG,0,9,B-Actor,B-Activity Data,the,B-Actor,DT,0,6,O,B-Activity,3,0,[0],actor performer
doc-20.3 - project manager approval,submitting,B-Activity,VBG,0,9,B-Actor,B-Activity Data,a,B-Activity Data,DT,0,10,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,submitting,B-Activity,VBG,0,9,B-Actor,B-Activity Data,the,B-Actor,DT,0,15,O,O,6,0,[0],actor recipient
doc-20.3 - project manager approval,submitting,B-Activity,VBG,0,9,B-Actor,B-Activity Data,Concurrently,B-AND Gateway,RB,3,0,O,B-Actor,9,3,[0],flow
doc-20.3 - project manager approval,assesses,B-Activity,VBZ,2,10,B-Actor,B-Activity Data,the,B-Actor,DT,2,7,O,B-Activity,3,0,[0],actor performer
